claim_total,claims_last_30d,claims_last_90d,days_since_last_claim,claim_duration_days
1403.01,4,6,20,8
293.28,1,2,83,6
248.71,1,1,9,1
377.39,1,1,119,4
338.14,0,3,39,2
457.07,2,2,70,6
2708.06,4,10,27,12
403.41,2,3,5,4
4180.89,4,5,18,9
2115.13,6,10,12,1
481.46,0,2,73,7
862.06,4,8,20,4
67.7,1,2,43,6
98.04,2,4,67,1
2470.93,2,4,1,4
498.36,0,3,54,1
339.53,1,4,7,1
201.97,2,2,56,1
344.23,2,5,91,7
1170.29,5,8,29,2
113.71,2,2,65,5
365.58,0,0,27,6
188.3,0,3,83,2
78.78,0,0,68,5
149.26,0,3,48,7
382.06,1,3,20,6
111.8,0,0,80,2
104.33,0,3,26,6
124.25,0,0,22,1
334.48,1,2,7,4
53.25,0,2,58,6
397.65,2,3,31,2
285.38,1,2,27,5
318.32,2,5,83,1
402.15,1,4,5,5
102.88,2,2,84,3
4940.52,5,8,14,13
143.65,0,1,19,7
429.69,1,4,27,2
69.4,2,4,41,2
200.43,1,1,18,6
291.81,0,0,67,5
452.78,2,5,80,5
139.44,2,4,34,7
152.5,0,3,116,2
149.3,1,4,11,4
467.54,1,2,54,3
373.91,2,4,39,2
64.44,2,2,40,2
259.49,1,2,102,3
182.82,0,1,78,5
889.13,5,12,27,4
426.64,1,1,98,4
160.99,1,4,79,2
3162.97,2,11,28,1
69.9,1,1,59,5
414.36,2,2,62,4
301.31,0,3,32,2
157.58,0,0,66,6
366.48,2,2,63,4
443.38,1,2,106,7
258.93,2,2,115,6
452.04,1,1,42,4
364.12,2,3,105,6
446.37,2,2,70,6
73.2,1,3,64,5
214.89,2,2,76,6
112.28,1,2,74,1
381.81,2,3,101,6
194.21,1,4,40,1
205.35,1,1,65,6
421.41,1,4,84,3
475.4,0,1,119,4
225.8,0,2,14,1
100.41,0,3,24,7
478.44,0,2,58,6
109.41,1,4,61,6
181.18,0,0,116,7
476.34,2,4,57,5
340.72,1,4,80,6
428.85,1,4,43,5
405.2,0,2,34,4
179.66,0,1,50,3
124.86,0,2,28,2
361.78,2,3,25,2
497.19,2,3,61,3
142.32,2,2,90,3
1165.75,4,12,5,9
464.19,1,4,103,2
4675.15,2,2,23,9
1990.76,6,10,15,5
3893.73,5,15,4,13
458.09,1,3,93,1
455.07,0,0,44,1
428.39,1,3,16,3
338.58,2,3,105,7
60.15,2,5,91,6
4891.28,4,7,15,6
280.2,0,2,55,2
242.43,1,3,6,3
188.64,1,1,32,6
3836.87,4,11,9,3
486.65,1,4,22,7
88.73,0,2,65,7
200.93,2,5,16,1
461.48,1,2,76,4
389.85,0,1,28,7
299.23,0,2,111,5
301.67,1,2,8,7
168.2,2,5,20,6
179.46,0,3,93,6
103.71,1,4,13,5
311.47,2,5,116,3
264.21,2,2,52,5
57.9,1,2,79,1
257.47,2,3,50,2
212.52,2,4,11,3
337.52,0,1,103,6
92.53,0,2,116,3
358.23,1,3,92,6
93.12,2,4,110,2
283.17,1,4,57,3
1233.63,2,4,16,4
407.79,2,2,58,4
1024.55,2,2,15,6
213.15,1,3,27,6
385.0,0,1,21,7
359.61,1,2,31,2
2411.62,1,2,0,13
244.06,0,0,9,7
316.92,1,1,37,1
350.41,0,0,82,2
140.01,2,4,8,1
385.78,1,3,50,2
4013.61,5,8,16,10
418.81,0,1,96,2
1272.98,5,5,23,2
4642.15,6,13,11,12
247.85,0,1,111,3
2408.41,5,8,13,2
191.42,1,1,71,2
212.56,1,1,15,3
223.15,1,3,92,7
299.26,1,4,29,7
428.47,1,3,27,1
2712.42,1,7,14,9
88.25,0,3,56,6
95.77,0,0,51,2
317.73,1,1,34,7
274.59,2,4,101,7
474.44,1,4,90,5
4943.85,5,9,4,13
104.98,1,4,34,6
633.76,6,6,26,2
62.04,0,3,82,6
186.24,2,2,102,1
283.97,1,4,30,3
270.61,1,3,108,7
57.95,0,3,117,1
191.55,1,4,63,1
300.49,1,2,67,4
372.07,1,1,77,6
299.2,2,5,65,5
2780.08,4,8,15,10
3276.23,3,7,10,1
70.3,1,3,108,6
394.33,2,4,53,1
496.37,1,3,12,6
155.58,1,1,93,1
1015.12,2,2,17,6
345.99,1,4,39,1
314.59,1,4,78,4
93.98,1,1,93,6
273.52,2,4,26,5
486.23,0,3,86,7
838.95,5,8,9,5
498.29,1,2,84,6
3729.68,5,6,18,6
304.89,2,5,59,2
84.5,1,3,60,6
140.03,1,3,84,5
393.54,0,0,85,6
133.94,1,2,89,7
260.28,2,5,77,6
285.02,1,4,23,2
358.38,1,4,57,3
4600.12,6,9,27,7
179.17,0,2,92,5
157.32,0,1,8,2
189.74,1,4,59,6
1408.96,3,5,0,5
174.99,2,3,87,7
375.11,0,0,115,1
184.09,0,3,119,3
448.56,1,2,35,1
275.11,0,2,68,1
105.02,1,3,111,5
412.62,2,3,59,2
128.82,1,4,57,3
751.66,5,10,22,2
240.7,2,3,40,7
2133.49,6,11,26,5
485.05,2,2,112,6
473.37,2,3,37,5
337.52,2,4,120,7
290.7,0,3,54,1
2268.39,3,7,2,14
183.84,0,3,85,3
3950.33,4,4,8,14
400.75,1,4,99,4
1997.25,4,5,26,3
277.85,1,4,82,6
382.0,1,1,102,1
132.68,1,2,5,4
187.49,2,2,19,2
371.1,2,3,113,5
406.68,1,4,66,7
167.3,2,4,107,3
236.52,0,3,117,4
4479.54,2,2,30,1
3411.98,6,9,29,2
1392.2,6,8,1,7
320.17,0,0,52,2
1028.08,6,14,13,13
2541.69,6,13,3,4
135.74,1,3,100,4
244.08,0,1,110,3
135.21,0,3,106,2
489.25,0,3,36,3
341.25,0,0,65,2
4884.8,4,14,6,12
240.48,2,4,14,1
73.45,0,3,50,5
4852.44,5,5,0,5
221.42,1,3,21,5
130.72,0,3,48,4
192.79,2,5,23,3
69.87,0,3,116,7
212.26,1,3,120,3
392.7,1,3,60,2
497.54,0,3,11,2
153.43,0,3,38,2
246.39,1,1,61,3
3023.85,4,11,3,14
116.62,1,1,31,7
425.72,2,4,77,6
312.59,0,1,58,1
274.14,0,2,8,3
356.28,1,3,80,1
119.2,0,3,111,6
254.32,1,1,47,1
477.89,1,2,32,7
339.63,1,1,100,1
321.03,0,3,37,2
396.89,1,1,7,7
224.82,1,3,87,7
1193.61,3,10,25,7
464.76,2,3,50,6
215.35,0,3,62,4
303.37,1,1,101,4
326.23,1,4,16,1
487.96,2,3,87,6
468.79,2,2,42,4
458.23,1,3,24,2
185.18,0,3,42,5
84.44,0,0,70,4
259.09,2,4,50,3
395.88,0,0,99,6
403.77,1,1,15,4
1839.41,5,12,24,11
413.52,1,2,32,2
491.97,1,1,60,5
227.72,0,1,88,4
232.29,2,5,43,5
327.53,2,5,107,3
110.8,0,0,109,1
134.7,0,1,66,6
158.8,2,3,16,3
116.67,1,1,19,2
3824.52,4,11,15,1
3133.52,2,6,18,14
72.91,0,0,85,7
490.76,1,3,9,4
281.0,2,5,34,6
58.56,2,4,75,1
341.73,1,1,68,5
2060.44,6,12,0,3
136.49,1,4,34,5
459.07,1,4,21,3
225.66,1,3,106,4
430.03,2,3,41,6
350.17,0,1,30,2
95.41,1,4,43,2
71.17,0,2,117,3
121.37,2,2,108,1
101.29,0,0,76,2
497.14,1,1,103,5
118.03,2,2,95,1
2470.22,4,5,3,13
401.96,0,0,69,1
103.13,0,2,25,6
248.68,2,5,98,7
341.19,1,2,20,7
486.33,0,1,111,7
179.04,0,0,39,3
236.75,2,3,24,7
239.77,0,1,107,4
234.19,1,3,8,4
54.48,2,2,15,3
491.87,0,3,12,4
347.07,2,3,120,5
334.22,2,4,58,4
3653.56,3,8,29,6
175.9,2,3,94,4
142.31,2,5,94,3
4017.03,4,7,28,5
291.84,1,2,71,5
91.77,2,4,71,3
122.01,0,2,35,7
376.92,2,2,98,1
166.89,2,4,20,1
473.59,1,3,78,6
202.54,0,1,49,3
403.15,2,3,96,4
161.43,1,2,110,7
94.09,2,5,111,4
77.99,0,3,32,4
354.56,1,4,116,3
336.4,1,4,98,4
114.95,0,3,96,4
367.03,2,2,93,2
64.67,0,2,20,5
996.51,3,12,9,1
102.98,1,3,43,3
406.03,0,3,11,3
1470.12,6,13,0,2
80.4,0,3,66,5
253.56,1,4,65,7
322.56,0,3,102,4
117.04,2,4,16,7
330.61,1,2,120,4
70.62,2,5,99,3
439.67,2,2,78,6
368.32,2,2,87,5
479.82,2,2,77,5
264.12,0,0,89,5
58.54,0,1,111,6
310.79,0,2,56,5
437.88,0,2,60,2
436.83,1,4,37,1
94.7,0,2,23,2
90.33,1,4,91,2
482.5,0,0,96,1
94.43,0,3,119,3
473.7,0,0,30,2
313.71,1,4,19,3
259.17,1,1,66,1
155.18,0,2,75,5
160.84,2,3,43,5
87.76,2,3,105,2
493.38,0,3,76,4
415.68,2,4,88,2
470.07,1,3,81,3
221.07,1,2,79,7
70.47,2,2,43,1
105.34,0,2,117,4
277.16,1,3,86,3
3684.89,3,6,21,6
256.91,2,4,7,6
465.01,2,5,5,1
235.92,2,5,102,4
404.28,2,2,73,1
4172.25,4,14,3,6
2193.69,5,10,12,3
415.33,0,0,64,3
2500.6,2,2,24,5
369.13,0,0,109,5
413.78,0,1,68,3
271.77,2,3,5,2
3372.96,1,5,18,9
298.3,2,3,13,5
79.27,1,2,117,5
173.44,2,2,93,6
163.81,2,5,5,4
474.37,0,2,60,7
1733.16,6,14,14,8
391.55,2,3,11,3
2895.85,3,3,12,4
446.04,0,1,93,4
4626.48,2,4,10,5
331.38,0,3,60,7
408.74,1,3,36,1
481.45,0,2,71,7
82.81,2,5,102,1
310.51,0,0,9,4
431.45,0,1,12,7
185.66,2,5,13,1
301.66,1,4,56,1
234.99,2,2,63,4
242.64,2,2,48,6
4023.18,4,12,10,10
96.21,2,2,80,7
456.96,0,2,50,4
329.38,0,1,22,7
107.46,2,5,70,6
190.03,2,3,23,4
204.3,1,1,71,5
115.07,0,0,59,3
140.17,0,0,48,2
362.64,1,3,114,5
201.04,1,4,47,2
444.24,0,3,33,1
361.94,1,2,35,4
478.66,1,4,31,4
495.44,1,1,14,3
101.83,1,4,29,6
394.48,0,0,30,2
148.52,1,2,48,7
130.34,0,1,112,3
594.47,6,8,12,11
99.93,0,2,63,2
217.55,0,3,117,6
114.99,0,1,29,5
218.41,2,5,86,2
3933.87,5,8,27,9
116.85,0,0,85,7
106.91,2,5,31,6
261.8,2,2,26,5
447.08,2,4,68,5
194.82,1,4,96,4
311.53,2,2,31,2
2534.36,2,8,6,5
219.68,0,2,37,5
388.22,1,4,71,3
68.51,2,4,59,4
234.02,1,3,39,4
248.76,1,1,50,1
275.79,2,2,105,3
942.84,1,6,1,9
138.49,1,3,43,6
357.59,1,2,95,5
4992.82,6,14,29,5
184.76,1,4,56,7
344.88,1,2,115,4
375.49,0,3,34,5
298.67,1,4,48,7
430.6,1,4,31,4
301.3,1,2,78,7
474.5,0,3,108,6
202.92,1,4,92,7
400.38,2,4,46,5
403.4,0,1,47,5
321.35,2,5,53,2
786.69,4,7,15,2
482.86,2,4,16,2
298.8,0,3,8,2
460.1,1,3,31,2
285.97,1,1,52,5
197.04,1,4,25,1
238.28,2,2,54,7
441.69,1,4,109,6
121.45,2,4,80,2
358.17,1,2,5,2
421.05,2,3,72,3
4456.58,4,11,18,1
179.56,1,3,94,7
183.85,2,3,58,2
327.98,1,4,54,6
305.87,1,1,35,7
447.14,2,4,90,1
375.08,0,3,57,7
497.88,0,0,69,7
234.54,0,2,31,5
62.02,2,5,53,3
435.09,1,1,6,3
462.7,1,4,67,4
296.79,0,3,22,4
428.69,0,0,82,1
105.87,2,5,26,1
55.04,1,2,61,3
371.48,2,3,61,6
335.65,2,2,54,6
73.59,0,0,103,4
467.96,1,2,30,1
62.57,0,2,110,2
78.43,0,1,97,2
280.62,1,3,76,6
143.2,2,5,59,1
97.65,1,2,6,4
55.39,0,3,33,1
175.3,2,4,10,1
2349.94,5,12,3,12
495.73,2,3,37,1
491.63,2,5,91,7
199.42,2,4,113,6
200.79,2,5,53,5
154.59,2,2,34,1
453.54,1,2,99,4
328.89,0,1,52,4
118.25,0,0,35,6
475.63,2,4,22,3
404.13,0,3,87,7
60.66,2,4,48,2
74.33,2,3,107,6
150.1,1,3,28,4
79.08,1,1,29,1
113.69,0,1,16,2
424.04,0,1,69,1
260.18,0,1,36,4
162.03,1,4,86,2
401.57,0,2,55,4
248.61,2,5,102,2
407.09,0,3,59,7
457.9,1,2,75,6
221.2,1,4,41,4
266.38,1,2,96,4
462.25,0,0,115,5
218.41,1,4,55,6
270.29,2,2,57,1
1060.15,5,7,6,13
164.86,2,4,70,6
359.81,2,2,88,4
3810.49,2,9,1,14
367.94,0,1,38,5
356.47,1,2,82,5
4286.82,1,2,24,2
462.59,1,1,71,2
1246.21,4,8,22,5
289.94,1,3,98,4
465.94,0,0,86,5
204.97,0,2,100,2
2290.87,3,3,5,14
93.59,2,5,72,4
379.86,0,1,52,2
139.11,0,0,62,5
133.54,0,1,108,7
492.32,1,4,85,5
336.39,0,2,15,4
78.92,0,1,66,4
95.36,0,2,101,1
405.14,0,0,32,5
219.05,2,4,67,4
321.96,1,3,92,3
4175.81,3,13,12,7
488.88,1,1,5,4
2308.14,2,2,19,2
1757.6,6,9,11,8
346.49,1,4,89,2
337.13,1,1,86,3
4863.19,6,11,21,8
268.04,2,2,49,4
4736.65,4,14,27,12
3804.25,3,12,6,12
284.02,2,2,21,4
185.6,2,5,26,4
2669.76,5,8,7,4
474.89,2,2,18,4
631.5,3,9,24,5
165.93,1,1,90,2
3350.97,4,5,25,12
150.71,2,2,87,3
372.84,2,5,88,6
484.8,1,2,33,3
89.46,0,2,99,5
3850.78,1,10,11,3
4793.31,5,5,9,1
135.43,1,4,45,7
355.68,0,1,18,4
433.55,1,2,109,3
274.92,1,2,81,3
349.4,2,2,81,3
495.64,0,2,113,6
333.98,0,3,42,6
764.66,3,5,26,12
379.69,0,0,115,7
269.37,1,3,109,6
1216.37,1,9,12,6
263.03,1,4,55,1
177.37,2,3,94,7
93.79,1,1,113,6
344.58,2,3,61,6
453.74,0,1,107,6
343.05,1,1,91,7
1164.22,4,14,26,3
932.21,4,6,30,1
281.94,1,4,24,6
160.25,0,1,55,4
318.26,0,3,104,6
3518.31,1,8,27,14
173.84,2,5,52,1
87.19,1,2,7,5
307.68,1,1,106,5
267.88,2,5,43,5
196.35,2,3,56,7
227.2,2,5,13,5
292.54,2,2,101,7
346.36,0,1,115,5
52.4,1,3,20,1
142.8,0,0,76,3
657.52,1,9,9,6
1272.21,6,6,7,5
475.6,1,4,22,5
190.82,1,2,93,1
70.13,0,1,23,3
1468.46,2,11,17,4
174.83,2,5,14,5
221.8,0,3,63,1
3544.37,6,8,17,4
379.7,2,3,96,3
341.49,2,3,58,7
496.59,1,4,8,5
171.55,2,2,92,5
198.21,0,2,47,7
440.98,0,2,6,1
485.94,1,1,105,1
377.74,1,4,17,5
307.47,1,3,82,1
1268.36,4,6,11,13
485.59,2,5,66,5
54.27,2,3,89,2
305.4,1,1,97,6
3683.76,2,12,19,7
132.4,1,4,69,3
242.49,2,3,44,6
4763.55,4,9,27,2
84.51,0,0,26,5
384.53,2,5,108,7
476.77,2,3,66,4
499.07,2,2,56,1
459.89,2,2,96,4
387.34,0,0,82,4
3535.35,5,8,5,2
109.99,1,1,59,4
217.97,0,2,91,2
432.84,0,2,43,4
145.88,2,5,32,3
4816.11,5,5,29,8
4317.58,1,6,0,10
184.25,0,0,49,6
209.54,0,3,67,2
281.44,0,3,20,4
396.24,1,2,65,4
214.02,0,2,18,4
247.71,0,2,100,4
447.6,2,3,19,2
110.15,1,3,120,1
139.54,1,3,20,4
273.0,2,3,46,7
446.79,2,5,21,1
4067.21,2,4,11,9
357.99,0,2,59,5
245.44,1,3,67,1
161.48,0,1,36,3
438.87,2,3,90,7
263.25,0,1,29,7
335.51,0,0,21,4
495.67,0,3,7,5
438.95,1,4,72,3
491.05,0,2,59,4
242.18,0,2,19,3
474.34,2,5,36,3
1317.88,1,1,21,12
178.39,1,1,60,2
271.07,1,3,19,1
357.33,0,2,51,6
384.31,2,4,35,6
312.94,0,0,21,6
104.16,2,3,29,6
94.39,2,4,43,6
392.44,2,3,10,2
297.72,1,3,119,3
372.79,1,1,66,4
478.59,0,1,81,3
108.02,0,0,106,6
416.53,1,1,26,4
222.86,1,4,82,3
51.62,2,3,80,6
467.87,2,5,69,6
166.47,0,2,95,3
127.0,0,1,42,1
473.91,1,2,39,7
339.08,0,1,73,1
206.35,2,4,46,1
4477.94,3,5,13,10
493.36,2,2,110,3
484.34,0,2,7,5
440.58,2,2,97,6
475.54,1,2,109,4
170.95,2,5,24,4
376.82,1,2,120,4
131.68,0,1,29,5
378.26,2,4,7,3
129.98,1,2,13,2
160.36,2,5,17,6
377.04,0,0,53,4
421.94,2,2,21,2
170.44,2,2,106,1
978.53,6,11,27,12
112.65,2,5,109,2
265.5,0,0,74,6
294.62,0,0,18,5
280.19,1,2,5,2
242.21,0,2,88,3
445.54,1,1,67,2
1510.35,3,8,2,10
212.22,0,0,82,2
288.71,2,3,91,4
350.27,1,3,49,1
274.66,1,3,108,6
404.98,0,1,45,2
374.6,1,1,19,5
377.01,0,0,46,2
223.25,1,4,59,4
236.27,2,4,22,7
4647.22,4,10,17,8
271.67,2,3,54,1
239.82,2,3,94,1
51.29,0,2,76,4
4644.07,1,6,11,14
400.38,0,2,63,2
298.17,1,2,31,7
386.14,0,1,53,6
484.2,1,1,94,1
83.2,2,3,8,2
85.55,0,0,77,7
117.37,0,3,100,2
364.35,1,4,57,6
401.62,2,2,41,1
446.51,0,1,69,2
424.7,2,5,75,6
463.61,2,4,95,2
120.56,0,3,21,6
328.56,0,3,28,7
301.68,0,3,66,3
232.29,1,2,11,7
240.9,1,1,18,1
400.45,1,1,35,3
97.91,0,0,101,3
140.77,0,1,39,1
3041.59,5,12,1,1
474.57,0,2,101,3
2750.97,3,9,23,6
3661.96,1,6,13,12
275.97,0,0,80,7
313.86,0,2,25,2
85.44,2,2,96,2
4133.64,6,8,24,12
483.64,2,4,62,7
180.88,2,5,10,6
224.43,0,0,24,5
273.88,0,1,103,7
440.38,0,3,17,4
470.32,0,0,40,5
90.15,0,3,38,4
3934.16,4,14,29,3
4872.56,4,4,11,14
234.06,2,3,61,3
331.08,1,3,15,6
252.54,2,2,84,6
405.76,2,2,24,7
219.12,2,5,114,1
443.36,2,2,49,4
290.8,1,1,15,2
462.85,1,4,30,4
192.78,2,5,32,6
101.45,1,1,74,2
1154.81,2,7,18,1
3983.92,1,6,25,7
1460.39,2,2,30,13
171.43,2,3,15,2
232.28,1,4,116,4
351.33,1,2,111,1
455.73,1,3,26,2
238.59,1,2,94,4
361.8,1,1,76,7
1393.52,6,16,18,10
348.82,2,4,6,2
4702.19,4,9,3,13
2328.74,5,5,14,14
3354.32,6,15,3,1
490.55,1,2,81,4
144.39,0,0,52,7
185.87,1,1,94,4
255.19,1,3,50,7
285.42,1,1,27,4
129.6,2,3,74,4
430.28,2,5,86,3
472.05,0,0,108,7
342.32,2,5,18,4
330.72,2,2,86,4
412.63,2,4,114,4
399.59,2,5,19,2
4777.48,3,10,13,14
403.08,1,1,52,7
177.62,2,4,44,7
4592.02,6,9,0,7
61.81,1,3,47,2
4967.73,2,10,12,4
226.99,0,3,21,6
377.64,1,3,71,2
94.81,0,0,85,5
429.36,2,4,112,5
195.08,0,0,8,4
396.51,0,0,84,6
487.57,2,5,8,6
492.53,2,4,28,2
149.79,0,1,97,7
220.14,1,1,40,1
3323.47,6,15,27,2
467.23,0,0,23,3
131.28,0,3,113,3
1435.88,1,8,25,1
268.93,2,2,31,6
450.36,2,5,108,2
54.56,0,0,20,3
2677.6,5,14,17,1
383.76,0,1,82,1
283.09,0,1,115,3
147.63,1,2,33,1
472.92,1,3,66,2
2068.49,5,15,9,8
273.11,2,5,29,3
359.17,2,4,55,1
394.89,1,2,106,2
2695.24,4,10,19,12
193.43,0,3,59,2
218.28,2,2,62,2
4811.44,3,12,13,5
444.75,2,4,55,1
414.06,1,2,50,2
345.62,1,2,104,3
193.36,0,2,32,4
194.7,0,0,54,3
287.26,0,2,96,5
4133.42,6,7,18,11
390.28,1,3,30,2
272.27,0,2,58,1
127.01,1,4,35,5
58.03,2,2,64,3
485.07,0,0,48,6
261.45,1,3,40,3
230.15,2,4,68,5
184.3,1,4,113,6
1046.36,3,12,3,1
421.45,0,0,46,7
246.05,0,0,29,6
2159.96,5,5,29,12
1668.59,1,2,1,5
198.19,2,5,39,6
111.99,1,1,21,3
3888.66,4,14,14,11
287.41,2,5,89,4
1948.6,6,13,7,2
183.3,0,2,76,7
3467.66,6,9,22,2
272.57,0,0,90,2
223.27,1,1,48,2
392.71,2,4,102,3
344.87,2,2,21,2
2235.09,4,13,16,4
134.58,1,4,26,6
441.42,2,2,23,4
3852.62,2,2,28,8
62.86,2,5,50,3
297.63,1,4,32,2
243.88,1,1,61,3
72.11,1,4,29,3
129.49,1,4,71,4
72.44,0,0,33,1
66.06,1,2,13,5
151.91,2,5,55,4
380.26,2,4,68,2
141.61,2,4,95,5
51.4,0,3,99,3
3595.71,2,7,21,2
199.47,1,2,6,6
200.32,0,2,117,1
392.11,0,2,65,5
442.94,1,1,10,7
356.01,1,2,72,5
115.96,0,0,43,7
253.67,2,4,74,3
164.09,1,1,110,3
200.18,2,5,19,3
377.69,0,1,57,7
497.33,1,4,8,2
363.11,1,3,31,6
464.28,1,1,40,6
454.64,1,2,38,6
199.03,2,5,40,3
310.78,2,4,111,5
407.89,2,4,41,1
2745.17,6,8,14,11
484.99,2,3,43,4
409.9,0,3,10,2
316.88,0,3,44,1
347.11,0,0,37,2
177.47,2,3,16,6
498.15,0,3,79,1
64.46,1,2,108,6
240.15,0,2,43,5
303.75,2,4,107,5
395.44,1,2,58,5
187.25,1,4,74,2
444.16,1,1,22,5
190.96,2,4,64,3
239.22,1,4,8,5
395.04,0,1,83,3
311.14,1,2,84,5
4450.12,1,7,4,7
258.26,2,5,112,1
171.58,2,2,47,5
180.76,1,3,115,1
313.07,2,2,94,2
302.92,1,2,33,6
119.65,2,4,97,1
330.64,0,0,13,1
445.95,2,2,36,2
61.1,2,5,55,1
1849.66,4,6,26,4
296.02,2,5,114,6
244.55,2,2,28,2
345.85,0,1,65,4
350.38,2,5,52,6
223.62,0,3,58,7
62.59,1,1,77,4
186.24,2,5,10,3
2605.58,6,13,8,1
2109.86,5,8,11,12
280.87,0,1,50,6
202.68,2,3,40,7
186.32,1,1,112,6
483.14,2,3,78,6
3989.29,5,9,4,12
479.83,1,4,13,1
379.79,0,0,90,1
355.69,1,2,103,7
4080.22,1,3,23,7
239.02,0,0,83,3
431.05,0,3,102,3
428.3,0,2,18,6
109.95,2,3,30,3
355.48,0,1,99,2
287.83,0,0,79,1
350.89,0,0,108,2
2118.02,4,13,17,14
133.39,2,5,29,7
422.4,2,4,50,5
4340.4,1,8,13,11
81.89,0,1,105,5
103.07,0,0,81,5
150.81,1,3,54,6
442.59,0,2,14,5
433.93,2,4,56,5
363.88,0,3,38,6
202.12,1,2,47,7
141.9,2,4,101,6
780.48,4,5,25,10
3663.91,1,6,2,7
325.59,0,3,21,3
96.83,1,2,88,3
186.54,0,0,12,1
415.11,2,5,92,6
298.62,0,3,103,4
243.37,1,2,19,4
327.04,1,3,29,3
76.06,0,0,80,1
386.36,2,2,107,1
1624.65,1,2,1,3
177.17,1,3,82,6
4991.4,2,11,12,8
345.46,0,2,74,2
380.84,1,2,61,6
215.12,2,4,116,6
451.83,1,1,11,3
3674.76,5,12,8,2
111.71,2,3,44,6
105.24,2,3,9,2
342.45,1,1,7,4
171.63,2,5,43,7
768.74,5,11,15,1
2230.98,1,4,6,7
243.98,0,2,9,5
471.74,2,4,111,3
315.93,0,2,97,7
439.58,2,2,108,1
478.6,2,4,114,5
307.67,2,4,25,4
496.67,0,1,6,3
477.93,0,1,103,5
306.98,0,2,51,3
402.08,2,2,20,3
194.44,1,2,61,4
53.99,0,2,66,6
148.03,0,0,40,5
478.97,1,2,38,7
166.79,1,2,34,6
442.05,2,2,34,1
132.91,2,5,79,3
372.8,0,2,37,1
435.86,1,1,81,2
84.86,1,1,70,1
196.6,1,4,14,6
177.39,0,2,82,7
488.78,2,4,65,3
122.14,0,2,24,5
324.06,1,3,32,4
64.67,2,3,53,7
853.0,1,4,18,9
3336.46,6,12,17,12
445.31,0,3,89,5
192.62,0,2,36,3
395.43,1,2,63,3
101.94,0,3,98,4
208.39,2,2,51,6
153.66,1,2,77,7
106.38,2,3,104,4
349.65,2,4,106,3
103.08,1,4,69,2
334.68,0,1,117,4
104.35,1,4,100,1
65.33,1,1,93,2
1095.7,5,11,28,7
231.04,2,3,96,3
453.83,1,1,97,1
464.32,1,4,85,4
246.06,1,2,98,2
315.3,2,2,24,1
216.44,2,5,53,3
278.9,2,4,103,1
271.98,0,3,41,3
390.78,0,0,109,6
3789.43,4,12,8,10
1914.65,3,7,5,2
268.98,0,1,41,3
3890.61,2,12,8,3
298.47,2,3,8,5
4819.36,5,13,25,4
424.62,0,2,31,3
3070.24,6,13,16,3
182.72,0,0,61,4
89.09,0,2,98,6
209.17,0,1,98,1
278.17,1,4,85,6
399.66,2,4,119,1
469.56,2,4,29,7
426.93,2,2,86,6
111.59,1,2,91,2
118.14,0,3,41,2
444.13,2,3,5,4
300.98,0,1,9,4
326.01,2,3,86,3
345.62,0,2,112,2
3505.89,4,14,12,10
266.43,0,1,19,7
238.81,1,3,36,6
129.29,1,1,49,6
107.62,1,4,81,4
63.03,1,2,118,7
77.36,1,3,91,3
414.06,1,4,38,1
377.68,1,1,44,4
307.62,0,1,104,6
485.71,2,4,21,5
477.62,0,3,16,7
460.49,2,2,88,1
212.94,0,1,112,5
373.01,1,2,52,3
298.82,0,0,9,7
473.15,0,3,106,4
177.39,0,1,85,7
65.2,2,2,109,7
230.33,2,4,115,1
277.02,2,5,7,1
293.76,0,0,99,5
137.43,2,4,105,3
384.56,1,3,63,2
486.16,2,5,53,3
150.01,1,3,66,3
2899.42,2,8,0,8
478.15,2,2,62,2
61.2,0,3,52,4
339.26,1,2,108,6
929.25,2,5,27,8
87.75,1,4,71,6
392.25,0,3,37,4
202.04,0,0,46,6
232.94,0,2,93,2
407.61,2,5,45,6
257.61,1,1,18,4
219.05,0,1,71,6
138.81,0,0,118,4
331.77,2,5,22,6
2381.66,1,5,3,7
3739.74,6,10,16,6
217.23,2,3,23,3
142.01,2,4,71,5
258.29,1,2,26,5
263.24,1,4,27,2
496.98,0,2,94,2
92.23,1,3,17,1
317.5,0,2,86,5
2052.31,1,4,8,5
440.63,2,4,52,5
470.43,2,3,14,5
378.79,1,2,38,5
408.59,2,5,47,5
316.47,1,4,31,2
154.32,0,0,107,5
124.17,0,2,14,1
413.25,1,4,46,3
102.78,2,5,53,7
263.51,1,3,72,1
4289.86,2,12,26,5
427.94,2,5,67,6
358.41,2,5,88,3
439.75,1,3,98,4
301.9,0,3,52,2
4979.47,2,9,11,9
313.78,1,1,52,3
55.85,1,1,87,3
229.23,2,4,40,6
307.48,0,3,82,6
128.2,2,2,9,3
452.41,0,1,116,7
238.8,0,0,61,6
191.4,2,4,114,2
381.85,1,3,119,6
493.81,2,4,71,1
2314.28,6,16,1,2
392.57,0,2,15,2
173.98,0,3,27,6
427.03,0,2,40,5
203.65,2,2,77,4
463.1,0,0,28,3
484.58,0,0,32,6
86.57,2,3,44,7
474.19,0,1,44,1
179.18,1,2,77,3
425.87,1,2,27,3
247.81,0,3,50,5
397.56,2,5,111,6
126.71,2,5,24,5
497.18,1,3,87,7
179.91,1,3,16,5
166.19,1,3,9,1
333.99,1,2,64,5
303.69,2,2,46,6
211.49,0,1,58,4
341.54,0,1,50,3
